13,Thibaut Courtois,GK,23,35
28,Cesar Azpilicueta,LB,26,23
30,Nicolas Otamendi,CB,27,32
4,Vincent Kompany,CB,29,30
23,Seamus Coleman,RB,27,19
4,Cesc Fabregas,CM,28,50
21,Nemanja Matic,DM,27,40
10,Eden Hazard,LW,24,70
17,Kevin De Bruyne,AM,24,60
8,Juan Mata,RW,27,34
10,Sergio Aguero,CF,27,60
